State,District,Latitude,Longitude,District code,Population,Households,Households_with_Internet,LPG_or_PNG_Households,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Ownership_Owned_Households,Ownership_Rented_Households,sex_ratio
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,3502404,965609,5210,57010,7305,54557,764002,14309,96.0
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,1676276,461026,2518,37186,6211,20163,381199,7064,96.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,1846823,518959,10943,141897,15192,39828,305878,48498,97.0
West Bengal,Haora,22.401674174428507,87.99421176968654,341,4850029,1352697,30751,325053,22295,122818,861570,140302,94.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,5519145,1640038,31725,319815,24013,167753,1121201,111963,96.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,3872846,1117804,9322,138522,16431,67075,693346,77231,95.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,4496694,1308106,136618,623579,85605,117173,540172,385117,91.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,3988845,958996,5357,54213,9639,41600,810212,12496,94.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,7103807,1851965,7951,92742,14050,74313,1481222,21489,96.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,5167600,1549771,12787,168314,18658,76698,1162914,31984,95.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,2930115,752652,3551,30675,6602,49630,546915,13996,96.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,3007134,778250,2883,39138,8150,31859,573488,10356,94.0
